school,start_year,last_year,years,games,wins,losses,ties,win_percentage,bowl_games,bowl_wins,bowl_losses,bowl_ties,bowl_percentage,srs,sos,ap,conference_championships,notes
Air Force,1957,2015,59,676,359,305,12,0.54,24.0,11.0,12.0,1.0,0.479,1.07,-0.45,6,3,
Akron,1975,2015,30,339,129,207,3,0.385,1.0,0.0,1.0,0.0,0.0,-11.86,-7.35,0,1,
Alabama,1902,2015,112,1212,870,300,42,0.735,62.0,35.0,24.0,3.0,0.589,13.15,4.08,52,24,W-L-T adjusted to 841-309-41 by NCAA.
Alabama-Birmingham,1996,2014,19,221,86,135,0,0.389,1.0,0.0,1.0,0.0,0.0,-7.58,-3.79,0,0,
Alameda Coast Guard,1943,1944,2,15,8,4,3,0.633,0.0,0.0,0.0,0.0,,-0.16,-5.13,0,0,
Alcorn State,1977,1977,1,11,3,8,0,0.273,0.0,0.0,0.0,0.0,,-17.1,-9.19,0,0,
Amarillo Field,1944,1944,1,8,5,3,0,0.625,0.0,0.0,0.0,0.0,,5.1,-1.78,0,0,
Amherst,1877,1906,25,239,108,110,21,0.496,0.0,0.0,0.0,0.0,,-1.2,-0.2,0,0,
Appalachian State,1972,2015,12,128,61,62,5,0.496,0.0,0.0,0.0,0.0,,-5.33,-7.53,0,0,
Arizona,1931,2015,82,888,469,396,23,0.541,18.0,8.0,9.0,1.0,0.47200000000000003,1.83,0.51,8,6,
Arizona State,1931,2015,82,893,547,328,18,0.623,28.0,14.0,13.0,1.0,0.518,3.62,-1.49,17,17,
Arkansas,1906,2015,110,1155,662,456,37,0.589,40.0,14.0,23.0,3.0,0.38799999999999996,6.93,3.06,28,14,W-L-T adjusted to 663-455-37 by NCAA.
Arkansas State,1974,2015,34,386,164,220,2,0.42700000000000005,5.0,2.0,3.0,0.0,0.4,-10.08,-6.89,0,5,W-L-T adjusted to 154-220-2 by NCAA.
Army,1891,2015,122,1196,649,496,51,0.564,5.0,3.0,2.0,0.0,0.6,3.45,-0.06,14,0,
Auburn,1902,2015,113,1168,712,413,43,0.628,39.0,22.0,15.0,2.0,0.59,8.61,4.34,37,8,W-L-T adjusted to 715-411-42 by NCAA.
Ball State,1975,2015,41,466,235,227,4,0.509,7.0,0.0,7.0,0.0,0.0,-8.24,-7.87,0,5,
Bates,1901,1905,3,21,10,8,3,0.5479999999999999,0.0,0.0,0.0,0.0,,-1.85,-2.2,0,0,
Baylor,1903,2015,110,1145,565,539,41,0.511,21.0,10.0,11.0,0.0,0.47600000000000003,2.86,2.64,13,8,W-L-T adjusted to 565-539-40 by NCAA.
Beloit,1894,1905,9,85,39,36,10,0.518,0.0,0.0,0.0,0.0,,-1.63,-1.71,0,0,
Birmingham-Southern,1920,1924,4,36,16,17,3,0.486,0.0,0.0,0.0,0.0,,-5.29,-4.68,0,0,
Boise State,1996,2015,20,249,194,55,0,0.779,15.0,10.0,5.0,0.0,0.667,5.78,-4.88,10,12,
Boston College,1901,2015,81,861,479,368,14,0.564,24.0,13.0,11.0,0.0,0.542,1.96,-0.15,14,1,
Boston University,1923,1964,20,170,73,90,7,0.45,0.0,0.0,0.0,0.0,,-6.91,-4.99,1,0,
Bowdoin,1896,1905,7,66,33,30,3,0.523,0.0,0.0,0.0,0.0,,-3.11,-2.87,0,0,
Bowling Green State,1962,2015,54,599,338,250,11,0.573,11.0,5.0,6.0,0.0,0.455,-4.41,-6.96,1,8,
Bradley,1949,1951,3,29,14,15,0,0.483,0.0,0.0,0.0,0.0,,-12.91,-12.75,0,0,
Brigham Young,1922,2015,91,977,551,400,26,0.5770000000000001,33.0,13.0,19.0,1.0,0.409,-1.03,-3.18,17,23,
Brown,1878,1981,93,858,431,392,35,0.523,1.0,0.0,1.0,0.0,0.0,-2.92,-3.57,0,1,
Bucknell,1888,1946,40,357,168,157,32,0.515,1.0,1.0,0.0,0.0,1.0,-3.0,-2.92,0,0,
Buffalo,1962,2015,26,282,100,178,4,0.36200000000000004,1.0,0.0,1.0,0.0,0.0,-12.05,-7.68,0,1,
Butler,1932,1933,2,15,4,10,1,0.3,0.0,0.0,0.0,0.0,,-16.48,-10.26,0,0,
Cal State Fullerton,1975,1992,18,205,76,127,2,0.376,1.0,0.0,1.0,0.0,0.0,-12.72,-7.22,0,2,W-L-T adjusted to 77-126-2 by NCAA.
Cal State Los Angeles,1969,1971,3,29,3,26,0,0.10300000000000001,0.0,0.0,0.0,0.0,,-27.59,-9.75,0,0,
California,1916,2015,100,1071,551,489,31,0.529,21.0,10.0,10.0,1.0,0.5,5.69,4.2,14,13,W-L-T adjusted to 548-488-31 by NCAA.
California-Santa Barbara,1969,1971,3,32,11,21,0,0.344,0.0,0.0,0.0,0.0,,-13.35,-7.22,0,0,
Camp Grant,1943,1943,1,10,2,6,2,0.3,0.0,0.0,0.0,0.0,,8.98,14.38,0,0,
Carlisle,1896,1917,21,252,165,77,10,0.675,0.0,0.0,0.0,0.0,,8.12,0.81,0,0,
Carnegie Mellon,1910,1940,20,172,84,75,13,0.526,1.0,0.0,1.0,0.0,0.0,3.99,1.51,1,0,
Centenary (LA),1930,1941,12,131,69,48,14,0.58,1.0,0.0,0.0,1.0,0.5,0.22,-1.79,0,0,
Central Florida,1996,2015,20,238,127,111,0,0.534,7.0,3.0,4.0,0.0,0.429,-2.78,-4.26,2,4,
Central Michigan,1975,2015,41,467,254,202,11,0.556,8.0,3.0,5.0,0.0,0.375,-6.75,-8.48,1,7,
Centre,1919,1935,8,74,51,20,3,0.7090000000000001,3.0,2.0,1.0,0.0,0.667,9.14,-0.02,0,0,
Charlotte,2015,2015,1,6,2,4,0,0.33299999999999996,,,,,,-13.9,-8.24,0,0,
Chattanooga,1909,1981,22,218,105,100,13,0.511,0.0,0.0,0.0,0.0,,-5.92,-6.18,0,3,
Chicago,1892,1939,48,466,287,147,32,0.65,0.0,0.0,0.0,0.0,,7.22,2.86,0,7,
Cincinnati,1954,2015,62,684,329,343,12,0.49,13.0,6.0,7.0,0.0,0.462,-2.96,-2.47,4,8,
Citadel,1909,1981,65,609,284,304,21,0.484,1.0,1.0,0.0,0.0,1.0,-7.47,-6.72,0,1,
Clemson,1902,2015,114,1167,675,448,44,0.597,36.0,18.0,18.0,0.0,0.5,4.93,1.54,28,16,
Coast Guard,1944,1945,2,17,6,10,1,0.382,0.0,0.0,0.0,0.0,,-4.68,-1.1,0,0,
Coe,1905,1905,1,9,1,7,1,0.16699999999999998,0.0,0.0,0.0,0.0,,-18.57,-4.35,0,0,
Colby,1904,1904,1,7,2,4,1,0.35700000000000004,0.0,0.0,0.0,0.0,,-8.02,-1.16,0,0,
Colgate,1905,1981,76,670,363,266,41,0.5720000000000001,0.0,0.0,0.0,0.0,,-0.87,-4.01,0,0,
Colorado,1902,2015,114,1124,631,458,35,0.5770000000000001,28.0,12.0,16.0,0.0,0.429,4.19,1.26,18,19,
Colorado College,1902,1945,39,296,169,109,18,0.601,0.0,0.0,0.0,0.0,,-1.35,-4.95,1,2,
Colorado Mines,1902,1937,36,239,98,128,13,0.43700000000000006,0.0,0.0,0.0,0.0,,-6.63,-4.64,0,3,
Colorado State,1902,2015,108,1058,494,533,31,0.48200000000000004,14.0,6.0,8.0,0.0,0.429,-3.78,-2.94,3,15,W-L-T adjusted to 495-532-31 by NCAA.
Columbia,1870,1981,84,699,282,382,35,0.428,1.0,1.0,0.0,0.0,1.0,-4.59,-1.7,2,1,
Connecticut,1979,2015,17,199,91,106,2,0.462,5.0,3.0,2.0,0.0,0.6,-3.74,-2.85,0,2,
Cornell,1888,1981,93,837,488,317,32,0.602,0.0,0.0,0.0,0.0,,2.17,-2.21,5,1,
Cornell College,1903,1903,1,9,1,8,0,0.111,0.0,0.0,0.0,0.0,,-14.48,-2.14,0,0,
Creighton,1927,1942,16,139,61,70,8,0.46799999999999997,0.0,0.0,0.0,0.0,,-6.26,-5.08,0,1,
Cumberland,1903,1905,2,13,7,5,1,0.5770000000000001,0.0,0.0,0.0,0.0,,5.07,-0.79,0,0,
Dartmouth,1881,1981,93,795,502,258,35,0.653,0.0,0.0,0.0,0.0,,3.47,-2.84,5,12,
Davidson,1902,1973,66,600,248,312,40,0.447,1.0,0.0,1.0,0.0,0.0,-7.33,-5.97,0,1,
Dayton,1956,1976,21,216,78,130,8,0.38,0.0,0.0,0.0,0.0,,-13.09,-8.45,0,0,
Del Monte Pre-Flight,1943,1943,1,8,7,1,0,0.875,0.0,0.0,0.0,0.0,,12.87,-6.25,1,0,
Denver,1902,1960,59,520,259,228,33,0.53,2.0,0.0,2.0,0.0,0.0,-4.12,-4.91,0,6,
Detroit Mercy,1927,1964,36,338,196,132,10,0.595,0.0,0.0,0.0,0.0,,0.21,-4.24,0,3,
Dickinson,1889,1910,18,173,84,79,10,0.514,0.0,0.0,0.0,0.0,,-3.35,-3.71,0,0,
Drake,1900,1985,73,666,316,326,24,0.49200000000000005,3.0,2.0,1.0,0.0,0.667,-5.64,-5.74,0,7,
Drury,1907,1907,1,5,1,4,0,0.2,0.0,0.0,0.0,0.0,,-13.17,-3.97,0,0,
Duke,1922,2015,94,987,468,491,28,0.488,11.0,3.0,8.0,0.0,0.273,2.87,2.77,17,17,
Duquesne,1933,1950,14,132,80,49,3,0.617,1.0,1.0,0.0,0.0,1.0,1.04,-2.38,3,0,
East Carolina,1965,2015,51,578,310,265,3,0.539,16.0,7.0,9.0,0.0,0.43799999999999994,-2.01,-2.87,2,6,W-L-T adjusted to 311-264-3 by NCAA.
East Tennessee State,1979,1981,3,33,15,18,0,0.455,0.0,0.0,0.0,0.0,,-9.46,-8.43,0,0,
Eastern Michigan,1975,2015,41,455,134,314,7,0.302,1.0,1.0,0.0,0.0,1.0,-15.84,-7.9,0,1,
Erskine,1919,1936,5,39,12,27,0,0.308,0.0,0.0,0.0,0.0,,-13.04,-5.98,0,0,
Florida,1904,2015,104,1104,670,397,37,0.624,41.0,21.0,20.0,0.0,0.512,8.62,4.19,29,9,
Florida A&M,2004,2004,1,11,3,8,0,0.273,0.0,0.0,0.0,0.0,,-21.65,-12.38,0,0,
Florida Atlantic,2004,2015,12,139,54,85,0,0.38799999999999996,2.0,2.0,0.0,0.0,1.0,-10.49,-4.84,0,1,
Florida International,2004,2015,12,138,43,95,0,0.312,2.0,1.0,1.0,0.0,0.5,-12.16,-6.31,0,1,
Florida State,1954,2015,62,726,493,217,16,0.69,42.0,25.0,15.0,2.0,0.619,11.57,3.94,31,15,W-L-T adjusted to 482-216-16 by NCAA.
Fordham,1909,1954,25,213,126,70,17,0.631,2.0,1.0,1.0,0.0,0.5,3.6,-1.08,6,0,
Fort Benning,1922,1922,1,10,5,5,0,0.5,0.0,0.0,0.0,0.0,,-6.13,-4.03,0,0,
Fort Riley,1943,1943,1,9,6,2,1,0.722,0.0,0.0,0.0,0.0,,10.37,1.81,0,0,
Fort Warren,1944,1944,1,10,5,4,1,0.55,0.0,0.0,0.0,0.0,,-4.13,-3.83,0,0,
Franklin & Marshall,1889,1904,7,62,24,31,7,0.444,0.0,0.0,0.0,0.0,,-6.68,-3.65,0,0,
Fresno State,1969,2015,47,560,326,230,4,0.586,21.0,9.0,12.0,0.0,0.429,-1.91,-5.43,2,11,W-L-T adjusted to 327-229-4 by NCAA.
Furman,1902,1981,61,605,297,280,28,0.514,0.0,0.0,0.0,0.0,,-6.16,-6.16,0,3,
George Washington,1908,1966,33,299,138,147,14,0.485,1.0,1.0,0.0,0.0,1.0,-4.59,-4.24,1,0,
Georgetown,1902,1950,36,313,184,110,19,0.618,2.0,0.0,2.0,0.0,0.0,2.76,-2.44,1,0,
Georgia,1902,2015,112,1195,756,389,50,0.654,50.0,28.0,19.0,3.0,0.59,9.94,4.69,35,12,
Georgia Pre-Flight,1942,1943,2,15,12,2,1,0.833,0.0,0.0,0.0,0.0,,11.14,2.27,0,0,
Georgia Southern,2014,2015,2,18,14,4,0,0.778,0.0,0.0,0.0,0.0,,5.06,-7.64,0,1,
Georgia State,2013,2015,3,30,3,27,0,0.1,0.0,0.0,0.0,0.0,,-18.57,-5.68,0,0,
Georgia Tech,1902,2015,114,1208,707,461,40,0.602,43.0,24.0,19.0,0.0,0.5579999999999999,8.83,4.59,25,8,W-L-T adjusted to 706-461-40 by NCAA.
Gonzaga,1922,1941,16,141,67,63,11,0.514,1.0,0.0,1.0,0.0,0.0,-2.55,-4.15,0,0,
Grambling State,1977,1977,1,11,10,1,0,0.909,0.0,0.0,0.0,0.0,,6.73,-10.0,0,1,
Great Lakes Navy,1918,1945,5,55,39,11,5,0.755,1.0,1.0,0.0,0.0,1.0,16.37,6.95,2,0,
Grinnell,1899,1936,26,218,90,110,18,0.45399999999999996,0.0,0.0,0.0,0.0,,-6.97,-4.74,0,0,
Hamilton,1907,1907,1,5,1,4,0,0.2,0.0,0.0,0.0,0.0,,-10.59,3.81,0,0,
Hampden-Sydney,1922,1940,5,44,14,29,1,0.33,0.0,0.0,0.0,0.0,,-12.35,-6.01,0,0,
Hardin-Simmons,1939,1962,21,218,113,96,9,0.539,6.0,4.0,2.0,0.0,0.667,-5.41,-6.95,1,3,
Harvard,1875,1981,103,932,631,259,42,0.7,1.0,1.0,0.0,0.0,1.0,4.2,-2.12,0,5,
Haskell,1902,1916,12,110,57,49,4,0.536,0.0,0.0,0.0,0.0,,-1.95,-2.36,0,0,
Haverford,1891,1891,1,6,0,6,0,0.0,0.0,0.0,0.0,0.0,,-23.89,-1.73,0,0,
Hawaii,1971,2015,43,517,263,248,6,0.515,10.0,5.0,5.0,0.0,0.5,-3.05,-3.13,2,4,
Holy Cross,1899,1981,53,524,264,233,27,0.53,1.0,0.0,1.0,0.0,0.0,-3.0,-4.37,5,0,
Houston,1949,2015,67,744,398,331,15,0.545,23.0,10.0,12.0,1.0,0.457,3.21,1.22,13,10,W-L-T adjusted to 398-331-14 by NCAA.
Idaho,1917,2015,73,707,246,445,16,0.359,2.0,2.0,0.0,0.0,1.0,-8.56,-3.5,0,1,
Idaho State,1944,1944,1,9,4,5,0,0.444,0.0,0.0,0.0,0.0,,-11.65,-7.09,0,0,
Illinois,1892,2015,124,1195,586,560,49,0.511,18.0,8.0,10.0,0.0,0.444,6.43,5.31,13,15,
Illinois State,1975,1985,11,119,41,73,5,0.366,0.0,0.0,0.0,0.0,,-15.36,-11.09,0,0,
Indiana,1899,2015,117,1110,441,631,38,0.414,9.0,3.0,6.0,0.0,0.33299999999999996,1.93,4.54,5,2,W-L-T adjusted to 442-630-38 by NCAA.
Indiana State,1975,1985,11,120,60,59,1,0.504,0.0,0.0,0.0,0.0,,-10.06,-9.71,0,0,
Iowa,1899,2015,117,1137,589,514,34,0.5329999999999999,28.0,14.0,13.0,1.0,0.518,6.55,5.16,21,11,W-L-T adjusted to 590-513-34 by NCAA.
Iowa Pre-Flight,1942,1944,3,31,26,5,0,0.8390000000000001,0.0,0.0,0.0,0.0,,18.05,5.72,2,0,
Iowa State,1895,2015,118,1154,491,618,45,0.445,12.0,3.0,9.0,0.0,0.25,-0.17,1.25,2,2,W-L-T adjusted to 492-617-45 by NCAA.
Jackson State,1977,1977,1,11,8,3,0,0.727,0.0,0.0,0.0,0.0,,-1.31,-10.4,0,0,
Jacksonville Naval Air Station,1942,1942,1,12,9,3,0,0.75,0.0,0.0,0.0,0.0,,6.46,-3.13,0,0,
Kansas,1901,2015,115,1156,521,581,54,0.474,12.0,6.0,6.0,0.0,0.5,1.34,2.34,7,5,
Kansas State,1912,2015,104,1062,447,580,35,0.43700000000000006,18.0,7.0,11.0,0.0,0.389,-0.61,1.89,13,3,W-L-T adjusted to 448-580-34 by NCAA.
Kent State,1962,2015,54,592,196,391,5,0.335,2.0,0.0,2.0,0.0,0.0,-12.79,-7.13,0,1,
Kentucky,1915,2015,100,1034,466,532,36,0.46799999999999997,15.0,8.0,7.0,0.0,0.5329999999999999,3.78,4.02,8,2,W-L-T adjusted to 467-531-36 by NCAA.
Knox,1899,1905,5,52,27,23,2,0.5379999999999999,0.0,0.0,0.0,0.0,,-1.9,-3.67,0,0,
Lafayette,1882,1946,47,440,256,160,24,0.609,0.0,0.0,0.0,0.0,,1.01,-2.59,0,0,
Lake Forest,1893,1899,5,47,17,24,6,0.426,0.0,0.0,0.0,0.0,,-7.97,-3.29,0,0,
Lamar,1973,1981,9,97,33,60,4,0.361,0.0,0.0,0.0,0.0,,-12.77,-7.68,0,0,
Lawrence,1905,1905,1,10,7,3,0,0.7,0.0,0.0,0.0,0.0,,3.09,-1.91,0,0,
Lehigh,1884,1965,43,412,195,197,20,0.498,0.0,0.0,0.0,0.0,,-3.05,-2.51,0,0,
Lombard,1903,1903,1,8,5,3,0,0.625,0.0,0.0,0.0,0.0,,-2.35,-2.72,0,0,
Long Beach State,1969,1991,23,257,129,126,2,0.506,1.0,0.0,0.0,1.0,0.5,-7.67,-7.16,0,3,W-L-T adjusted to 130-125-2 by NCAA.
Louisiana State,1902,2015,111,1172,737,388,47,0.649,46.0,23.0,22.0,1.0,0.511,9.72,4.36,37,11,W-L-T adjusted to 739-386-47 by NCAA.
Louisiana Tech,1975,2015,35,401,200,194,7,0.507,7.0,3.0,3.0,1.0,0.5,-4.13,-4.46,0,4,W-L-T adjusted to 201-193-7 by NCAA.
Louisiana-Lafayette,1973,2015,43,481,206,270,5,0.433,4.0,4.0,0.0,0.0,1.0,-9.52,-6.14,0,5,W-L-T adjusted to 207-269-5 by NCAA.
Louisiana-Monroe,1975,2015,29,327,119,206,2,0.36700000000000005,1.0,0.0,1.0,0.0,0.0,-11.47,-5.65,0,1,
Louisville,1962,2015,54,609,324,278,7,0.5379999999999999,18.0,8.0,9.0,1.0,0.47200000000000003,-1.3,-2.34,10,8,W-L-T adjusted to 326-276-7 by NCAA.
Loyola (LA),1934,1936,3,28,10,17,1,0.375,0.0,0.0,0.0,0.0,,-6.61,-3.13,0,0,
Loyola Marymount,1933,1951,13,127,66,57,4,0.535,0.0,0.0,0.0,0.0,,-2.09,-4.02,0,0,
Lubbock Field,1944,1944,1,9,5,4,0,0.556,0.0,0.0,0.0,0.0,,-1.45,-3.01,0,0,
Maine,1904,1905,2,16,8,7,1,0.531,0.0,0.0,0.0,0.0,,-1.9,-2.21,0,0,
Manhattan,1936,1942,7,63,30,31,2,0.49200000000000005,0.0,0.0,0.0,0.0,,-0.84,0.07,0,0,
March Field,1943,1944,2,21,16,3,2,0.81,0.0,0.0,0.0,0.0,,5.33,-5.69,2,0,
Mare Island Marines,1917,1918,2,19,18,1,0,0.9470000000000001,2.0,1.0,1.0,0.0,0.5,13.72,-5.57,0,0,
Marquette,1927,1960,34,306,131,160,15,0.45299999999999996,1.0,0.0,1.0,0.0,0.0,-0.76,0.34,1,0,
Marshall,1962,2015,39,442,200,239,3,0.456,11.0,9.0,2.0,0.0,0.818,-9.02,-6.3,3,6,
Maryland,1917,2015,99,1050,541,479,30,0.53,26.0,11.0,13.0,2.0,0.462,2.48,1.61,18,11,
Maryville (TN),1906,1907,2,13,3,8,2,0.308,0.0,0.0,0.0,0.0,,-9.89,0.71,0,0,
Massachusetts,1882,2015,18,158,53,99,6,0.354,0.0,0.0,0.0,0.0,,-8.79,-3.54,0,0,
McNeese State,1975,1981,7,80,57,21,2,0.725,3.0,1.0,2.0,0.0,0.33299999999999996,-1.17,-7.87,0,3,
Memphis,1960,2015,56,613,285,320,8,0.47100000000000003,7.0,4.0,3.0,0.0,0.5710000000000001,-1.49,-1.62,1,4,W-L-T adjusted to 286-319-8 by NCAA.
Mercer,1909,1936,15,138,56,73,9,0.43799999999999994,0.0,0.0,0.0,0.0,,-3.92,-2.03,0,0,
